date,MSFT_price,AAPL_price,TSLA_price,SNDL_price,NIO_price,F_price,AMC_price,AMD_price,AMZN_price,DIS_price,NFLX_price,LCID_price,NVDA_price,GPRO_price,PLUG_price,SNAP_price,FB_price,AAL_price,HOOD_price,PFE_price,BABA_price,ACB_price,BAC_price,VOO_price,ZOM_price,NOK_price,CCL_price,SPY_price,DAL_price,PLTR_price,OGI_price,SBUX_price,T_price,TWTR_price,TLRY_price,RIVN_price,MRNA_price,COIN_price,GME_price,CGC_price,BB_price,PYPL_price,GOOGL_price,KO_price,ZNGA_price,FCEL_price,GM_price,SPCE_price,UBER_price,GE_price,UAL_price,PSEC_price,NCLH_price,WKHS_price,NAKD_price,RBLX_price,ABNB_price,IDEX_price,SQ_price,BA_price,DKNG_price,CRON_price,DWAC_price,CHPT_price,NKLA_price,JNJ_price,VTI_price,SIRI_price,LUV_price,WMT_price,QQQ_price,GNUS_price,PTON_price,XOM_price,NKE_price,RIOT_price,MRO_price,WISH_price,ARKK_price,OCGN_price,SONY_price,JBLU_price,V_price,SOFI_price,RCL_price,BNGO_price,CPRX_price,RYCEY_price,CLOV_price,ET_price,PENN_price,COST_price,ZM_price,IVR_price,INTC_price,NRZ_price,INO_price,FUBO_price,GSAT_price,TSM_price
2017-01-10,62.62,29.778,45.974,,,12.85,34.15,11.44,795.9,108.38,129.89,,26.618,9.02,1.24,,124.35,48.48,,31.727,96.75,23.184,22.94,207.92,,4.84,54.25,226.46,50.93,,,57.88,40.81,17.37,,,,,24.64,7.412,7.12,41.08,826.01,41.04,2.6,23.4,37.35,,,241.308,73.66,8.47,45.22,5.4,1365.0,,,1.22,14.91,159.07,,,,,,116.16,116.87,4.63,51.34,68.23,122.6,5.19,,85.93,53.11,3.63,17.48,,21.95,92.4,29.53,22.51,81.31,,85.93,,1.14,8.23,,18.74,13.29,161.66,,14.89,36.54,16.09,7.18,,1.6,30.07
2017-01-11,63.19,29.938,,,,12.67,34.3,11.2,799.02,109.44,130.5,,26.29,9.12,1.26,,126.09,48.64,,31.148,96.94,22.68,23.07,208.51,,4.78,54.56,227.1,51.44,,,58.1,40.61,17.3,,,,,24.61,7.355,7.22,41.28,829.86,41.05,2.63,23.4,37.95,,,242.077,75.04,8.58,45.75,5.46,1605.0,,,1.24,14.9,159.4,,,,,,114.73,117.24,4.59,51.68,68.53,122.93,4.91,,86.81,52.69,3.69,17.69,,21.78,91.2,30.44,22.78,81.8,,86.62,,,8.26,,18.83,13.36,161.54,,,36.95,16.12,7.05,,1.53,30.17
2017-01-12,62.61,29.813,45.918,,,12.59,34.0,10.76,813.64,107.53,129.18,,25.86,9.15,1.23,,126.62,48.1,,30.93,95.9,22.608,22.92,208.05,,4.7,53.64,226.53,50.89,,,58.03,41.01,17.38,,,,,24.72,7.34,7.23,41.56,829.53,40.95,2.67,22.8,37.51,,,241.462,74.0,8.59,45.35,5.89,1560.0,,,1.24,14.74,158.29,,,,,,114.62,116.93,4.58,51.01,67.97,122.74,5.18,,86.34,52.4,3.65,17.44,,21.83,99.0,30.87,21.82,81.37,,85.89,,1.18,8.39,,18.8,13.45,161.87,,14.81,36.71,16.02,7.03,,1.43,29.29
2017-01-13,62.7,29.76,47.55,,,12.63,34.25,10.58,817.14,108.06,133.7,,25.858,9.27,1.25,,128.34,47.65,,30.854,96.27,22.908,23.01,208.46,,4.75,53.46,227.05,51.23,,,57.85,40.96,17.25,,,,,22.73,7.39,7.27,41.6,830.94,40.88,2.64,22.8,37.34,,,241.231,74.32,8.63,44.95,5.99,2550.0,,,1.23,14.75,158.83,,,,,,114.6,117.22,4.61,51.15,67.13,123.16,4.945,,86.35,52.92,3.66,17.45,,22.06,103.2,31.02,21.76,81.17,,85.09,,1.24,8.16,,18.6,13.35,161.86,,14.86,36.79,16.03,6.98,,1.52,29.44
2017-01-17,62.53,30.0,47.116,,,12.61,33.9,9.82,809.72,107.97,132.89,,25.278,9.42,1.25,,127.87,46.75,,30.417,96.12,24.0,22.05,207.72,,4.74,53.09,226.25,50.33,,,58.0,41.11,16.96,,,,,23.34,7.643,7.16,41.27,827.46,41.22,2.63,21.6,37.31,,,240.538,73.74,8.64,44.74,5.74,2534.85,,,1.23,14.69,157.67,,,,,,114.87,116.7,4.57,50.24,68.42,122.79,4.98,,87.36,53.65,3.53,17.44,,21.72,102.0,30.86,21.34,81.26,,84.99,,1.23,8.72,,18.54,13.24,163.81,,14.82,36.8,15.93,6.7,,1.45,29.62
2017-01-18,62.5,29.997,47.672,,,12.41,33.8,9.88,807.48,108.16,133.26,,25.737,9.22,1.23,,127.92,47.64,,30.389,96.0,23.16,22.63,208.16,,4.69,53.6,226.75,50.3,,,58.45,40.8,17.11,,,,,23.49,7.38,7.21,41.35,829.02,41.29,2.61,21.0,37.47,,,240.231,74.0,8.64,45.67,5.3,2445.0,,,1.2,14.64,158.32,,,,,,114.7,116.97,4.6,50.38,68.11,123.04,5.0,,86.28,53.27,3.48,17.33,,21.8,98.4,30.71,21.49,81.59,,85.51,,1.22,8.6,,18.0,13.14,164.27,,14.84,36.76,15.9,6.74,,1.41,29.49
2017-01-19,62.3,29.945,48.752,,,12.43,33.9,9.77,809.04,107.28,138.41,,26.29,9.17,1.18,,127.55,47.26,,30.076,96.17,23.136,22.53,207.46,,4.74,53.45,225.91,49.7,,,57.89,41.0,16.79,,,,,23.31,7.3,7.1,41.27,824.37,41.14,2.63,21.0,37.3,,,240.077,74.02,8.58,45.62,4.78,3180.0,,,1.17,14.73,159.0,,,,,,114.2,116.51,4.59,50.07,67.62,122.98,5.05,,84.73,52.93,3.42,17.27,,21.83,91.8,30.4,21.36,81.73,,84.56,,1.2,8.69,,17.71,13.06,163.7,,14.78,36.57,15.88,6.58,,1.37,29.63
2017-01-20,62.74,30.0,48.946,,,12.36,34.3,9.75,808.33,107.66,138.6,,26.003,9.51,1.18,,127.04,48.0,,30.142,96.06,23.28,22.64,208.13,,4.76,53.3,226.74,50.5,,,57.66,41.45,16.58,,,,,23.58,7.566,7.13,41.69,828.17,41.32,2.64,20.4,37.01,,,234.846,75.24,8.64,45.63,4.86,2518.5,,,1.2,14.89,159.53,,,,,,114.15,116.91,,51.09,67.18,123.25,5.11,,85.89,53.2,3.43,17.61,,21.849,91.2,30.5,21.41,81.84,,85.04,,1.19,8.56,,18.02,13.42,164.24,,14.79,36.94,16.0,6.28,,1.38,30.07
2017-01-23,62.96,30.02,49.784,,,12.31,34.1,9.91,817.88,107.12,137.39,,26.272,9.4,1.14,,128.93,46.94,,29.848,98.41,24.24,22.56,207.65,,4.68,53.77,226.15,48.77,,,57.76,42.0,16.61,,,,,23.93,7.819,7.13,41.62,844.43,41.43,2.6,19.8,36.65,,,228.846,72.75,8.68,46.0,4.51,2400.0,,,1.18,14.61,157.84,,,,,,113.91,116.6,4.59,49.94,66.65,123.35,4.92,,84.97,53.24,3.367,17.42,,21.898,88.8,30.43,21.04,82.15,,84.96,,1.18,8.74,,18.25,13.7,163.01,,14.82,36.77,16.1,5.98,,1.44,30.33
2017-01-24,63.52,29.993,50.922,,,12.61,34.3,10.44,822.44,107.9,140.11,,26.833,10.13,1.16,,129.37,47.54,,29.554,101.43,23.64,22.95,208.97,,4.67,54.53,227.6,49.44,,,58.44,41.36,16.52,,,,,23.87,7.72,7.21,41.96,849.53,41.9,2.55,19.2,37.0,,,230.769,73.18,8.68,46.84,3.76,2160.0,,,1.19,14.66,160.55,,,,,,111.76,117.51,4.63,49.65,67.4,124.18,4.76,,85.09,53.45,3.1,17.7,,22.06,90.6,30.49,21.42,83.23,,86.03,,1.15,8.62,,18.62,13.89,163.67,,14.83,37.62,16.16,6.19,,1.48,
